title,publisher,h_index,thematic_scope,issn,quartile_category,quartile_year,quartile,sjr_year,sjr_score,impact_factor_year,impact_factor_score
BJU International,Wiley-Blackwell Publishing Ltd,169,"BJUI is constantly innovating to provide the urology community with a journal that is fresh in appearance and is easy to read. The journal is fully sectionalised and in full colour making it easier to use. BJUI aims to provide the very highest standard of research and clinical material for the urological community. 

BJUI publishes original articles, correspondence and book reviews on adult and pediatric urology. Clinical relevance is critical and the journal covers the entire breadth of urology under the following sections : Comments, Mini-Reviews, Urological Oncology, Lower Urinary Tract, Sexual Medicine, Upper Urinary Tract, Reconstructive Urology, Paediatric Urology, Investigative Urology, Robotic & Laparoscopic Urology and the highly esteemed Surgery Illustrated.",1464-4096,Urology,2023,Q1,2023,1.337,2023,2.907
Peptides,Elsevier Inc.,139,"Peptides is an international journal presenting original contributions on the biochemistry, physiology and pharmacology of biological active peptides, as well as their functions that relate to gastroenterology, endocrinology, and behavioral effects.

Peptides emphasizes all aspects of high profile peptide research in mammals and non-mammalian vertebrates. Special consideration can be given to plants and invertebrates. Submission of articles with clinical relevance is particularly encouraged.",0196-9781,Physiology,2023,Q2,2023,0.826,2023,2.896
Hormones and Behavior,Academic Press Inc.,161,"Hormones and Behavior publishes original research articles, reviews and special issues concerning hormone-brain-behavior relationships, broadly defined. The journal's scope ranges from laboratory and field studies concerning neuroendocrine as well as endocrine mechanisms controlling the development or adult expression of behavior to studies concerning the environmental control and evolutionary significance of hormone-behavior relationships. The journal welcomes studies conducted on species ranging from invertebrates to mammals, including humans.",0018-506X,Endocrinology,2023,Q2,2023,0.936,2023,2.450
Journal of Neuropathology and Experimental Neurology,Oxford University Press,178,"The Journal of Neuropathology & Experimental Neurology is the official journal of the American Association of Neuropathologists, Inc. (AANP). The journal publishes peer-reviewed studies on neuropathology and experimental neuroscience, book reviews, letters, and Association news, covering a broad spectrum of fields in basic neuroscience with an emphasis on human neurological diseases. It is written by and for neuropathologists, neurologists, neurosurgeons, pathologists, psychiatrists, and basic neuroscientists from around the world. Publication has been continuous since 1942.",0022-1554,Pathology and Forensic Medicine,2023,Q1,2023,1.026,2023,2.123
Regulatory Peptides,Elsevier,106,"Incorporated into Peptides. Peptides is an international journal presenting original contributions on the biochemistry, physiology and pharmacology of biological active peptides, as well as their functions that relate to gastroenterology, endocrinology, and behavioral effects.

Peptides emphasizes all aspects of high profile peptide research in mammals and non-mammalian vertebrates. Special consideration can be given to plants and invertebrates. Submission of articles with clinical relevance is particularly encouraged.",0167-0115,Physiology,2018,Q4,2018,0.332,2018,0.000
Chemistry and Biodiversity,Wiley-Blackwell,83,"Chemistry & Biodiversity serves as a high-quality publishing forum covering a wide range of biorelevant topics for a truly international audience. This journal publishes both field-specific and interdisciplinary contributions on all aspects of biologically relevant chemistry research in the form of full-length original papers, short communications, invited reviews, and commentaries. It covers all research fields straddling the border between the chemical and biological sciences, with the ultimate goal of broadening our understanding of how nature works at a molecular level.
Since 2017, Chemistry & Biodiversity is published in an online-only format.",1612-1872,Molecular Medicine,2023,Q4,2023,0.405,2023,2.468
Stand,Stand Magazine Ltd.,1,"Stand has been a fixture on the British and world literary scene since 1952, when the first issue appeared in London. It moved to Leeds in 1960, then to Newcastle, and it is now edited from the School of English at the University of Leeds in collaboration with Virginia Commonwealth University in the USA. Stand continues to welcome submissions of poetry and short fiction from around the world.",0038-9366,Literature and Literary Theory,2020,Q4,2020,0.101,2020,0.000
Clinical Oral Investigations,Springer Verlag,101,"It is the primary aim of this international journal to be a multidisciplinary forum for publications from all fields of oral medicine. Especially, it is intended to create a connection between basic and clinical sciences and thus promote the exchange of information and the advancement of oral medicine for the benefit of patients.

Clinical Oral Investigations publishes original scientific articles and invited reviews which provide an international readership with up-to-date results of basic and clinical studies in the field of oral and maxillofacial science and medicine and aims to clarify the relevance of these results for a modern practice. Covered topics are: Maxillofacial and Oral Surgery, Prosthetics and Restorative Dentistry, Operative Dentistry, Endodontics, Periodontology, Orthodontics, Dental Materials Science, Clinical Trials, Epidemiology, Pedodontics, Oral Implant, Preventive Dentistiry, Oral Pathology, Oral Basic Sciences. The submission of Case Reports is generally discouraged.",1432-6981,Dentistry (miscellaneous),2023,Q1,2023,0.942,2023,3.577
Oral Diseases,Wiley-Blackwell,104,"Oral Diseases is a multidisciplinary and international journal with a focus on head and neck disorders, edited by leaders in the field, Professor Giovanni Lodi (Editor-in-Chief, Milan, Italy), Professor Stefano Petti (Deputy Editor, Rome, Italy) and Associate Professor Gulshan Sunavala-Dossabhoy (Deputy Editor, Shreveport, LA, USA). The journal is pre-eminent in oral medicine. Oral Diseases specifically strives to link often-isolated areas of dentistry and medicine through broad-based scholarship that includes well-designed and controlled clinical research, analytical epidemiology, and the translation of basic science in pre-clinical studies. The journal typically publishes articles relevant to many related medical specialties including especially dermatology, gastroenterology, hematology, immunology, infectious diseases, neuropsychiatry, oncology and otolaryngology. The essential requirement is that all submitted research is hypothesis-driven, with significant positive and negative results both welcomed. Equal publication emphasis is placed on etiology, pathogenesis, diagnosis, prevention and treatment.",1354-523X,Otorhinolaryngology,2023,Q1,2023,0.895,2023,3.993
Anesthesiology,Lippincott Williams and Wilkins Ltd.,267,"Anesthesiology founded in 1940, leads the world in publication of peer-reviewed novel research that transforms clinical practice and fundamental understanding in anesthesiology: the practice of perioperative, critical care, and pain medicine. Anesthesiology is the official journal of the American Society of Anesthesiologists but operates with complete editorial autonomy. With an independent and internationally recognized Editorial Board, the Journal leads the specialty in promotion of original research by providing immediate open access to highlighted articles and free access to all published articles 6 months after publication, supported by an active press release program. Anesthesiology is committed to publishing and disseminating the highest quality work to inform daily clinical practice and transform the practice of medicine in our specialty.",0003-3022,Anesthesiology and Pain Medicine,2023,Q1,2023,1.972,2023,3.356
Analytical Chemistry,American Chemical Society,369,"Analytical Chemistry is a peer-reviewed research journal that is devoted to the dissemination of new and original knowledge in all branches of analytical chemistry. Fundamental articles may address the general principles of chemical measurement science and need not directly address existing or potential analytical methodology. Articles may be entirely theoretical with regard to analysis, or they may report experimental results. They may contribute to any phase of analytical operations, including sampling, bioanalysis, electrochemistry, mass spectrometry, microscale and nanoscale systems and structures, environmental analysis, separations, spectroscopy, chemical reactions and selectivity, instrumentation, imaging, surface analysis, and data processing. Papers dealing with known analytical methods should offer a significant, original application of the method, a noteworthy improvement, or results on an important analyte.

Research manuscripts include Letters, Technical Notes and Articles. Note that the maximum lengths of Letters, Technical Notes and articles are four, five and eight journal pages, respectively. In addition, the journal publishes Features and Perspectives. Feature articles are written for the generalist and are intended to broaden readers’ professional interests and keep them aware of the role of analytical chemistry in the scientific arena. Perspectives point out the authors’ vision of the character and importance of a new direction in analytical chemistry, analyze research reports that provide the foundation for the new direction, and discuss the nature of the opportunities perceived. See author guidelines for more information on the journal, the manuscript types, and how to estimate paper length.",0003-2700,Analytical Chemistry,2023,Q1,2023,1.621,2023,6.810
Antiviral Chemistry and Chemotherapy,SAGE Publications Inc.,59,"Antiviral Chemistry & Chemotherapy is a peer-reviewed, open access journal that publishes research on all aspects of antiviral compounds, including their chemistry, therapeutic effects, biochemistry, pharmacology, mode of action and virology. The journal also publishes reviews, pointers, short communications, protocols and correspondence. Original research manuscripts are required to present rigorous and reproducible scientific methodologies, and a clear antiviral design rationale to be considered for publication. Manuscripts that report negative results are welcome as long as they conform to the above publication criteria.",0956-3202,Virology,2023,Q3,2023,0.369,2023,0.867
RSC Medicinal Chemistry,Royal Society of Chemistry,74,"RSC Medicinal Chemistry publishes significant research in medicinal chemistry and related drug discovery science.

Research articles published in RSC Medicinal Chemistry must show a breakthrough or significant advance on previously published work, or bring new thinking or results that will have a strong impact in their field.

Examples of areas within the journal's scope are:
-	Design, synthesis and biological evaluation of novel chemical entities or biotherapeutic modalities. To be suitable for publication these must ex-hibit significant potential as new pharmacological agents, tools, probes or potential drugs.

-	Modifications of known chemical entities or biotherapeutic modalities that result in a significantly greater understanding of their structure-activity re-lationships, an improvement of their properties or provide other infor-mation of significant value, for example, the identification of a new target or mode of action for a known agent. Routine modifications with minimal or no improvement are not suitable for RSC Medicinal Chemistry.

-	Novel methodologies and technologies in the broader chemical and bio-logical sciences (for example, enabling synthetic chemistry, chemical bi-ology, -omics sciences, nanoscience) with application to drug discovery, target identification or elucidation of the mechanism of action. Biological studies should present sufficient innovation with respect to the chemistry.",2632-8682,Pharmacology,2023,Q2,2023,0.850,2023,4.051
Molecular Cancer Therapeutics,American Association for Cancer Research Inc.,199,"Molecular Cancer Therapeutics will focus on basic research that has implications for cancer therapeutics in the following areas: Experimental Cancer Therapeutics, Identification of Molecular Targets, Targets for Chemoprevention, New Models, Cancer Chemistry and Drug Discovery, Molecular and Cellular Pharmacology, Molecular Classification of Tumors, and Bioinformatics and Computational Molecular Biology. The journal provides a publication forum for these emerging disciplines that is focused specifically on cancer research. Papers are stringently reviewed and only those that report results of novel, timely, and significant research and meet high standards of scientific merit will be accepted for publication.",1535-7163,Oncology,2023,Q1,2023,2.270,2023,5.027
ACS Chemical Neuroscience,American Chemical Society,95,"ACS Chemical Neuroscience publishes high-quality research articles and reviews that showcase chemical, quantitative biological, biophysical and bioengineering approaches to the understanding of the nervous system and to the development of new treatments for neurological disorders. Research in the journal focuses on aspects of chemical neurobiology and bio-neurochemistry such as the following:

Neurotransmitters and receptors
Neuropharmaceuticals and therapeutics
Neural development—Plasticity, and degeneration
Chemical, physical, and computational methods in neuroscience
Neuronal diseases—basis, detection, and treatment
Mechanism of aging, learning, memory and behavior
Pain and sensory processing
Neurotoxins
Neuroscience-inspired bioengineering
Development of methods in chemical neurobiology
Neuroimaging agents and technologies
Animal models for central nervous system diseases
Behavioral research",1948-7193,Physiology,2023,Q1,2023,1.060,2023,3.996
Molecular Plant-Microbe Interactions,American Phytopathological Society,176,"Molecular Plant-Microbe Interactions® (MPMI) publishes fundamental and advanced applied research on the genetics, genomics, molecular biology, biochemistry, and biophysics of pathological, symbiotic, and associative interactions of microbes, insects, nematodes, or parasitic plants with plants.",0894-0282,Physiology,2023,Q2,2023,0.932,2023,3.290
"Nuclear Instruments and Methods in Physics Research, Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",Elsevier B.V.,181,"Section A of Nuclear Instruments and Methods in Physics Research publishes papers on design, manufacturing and performance of scientific instruments with an emphasis on large scale facilities. This includes the development of particle accelerators, ion sources, beam transport systems and target arrangements as well as the use of secondary phenomena such as synchrotron radiation and free electron lasers. It also includes all types of instrumentation for the detection and spectrometry of radiations from high energy processes and nuclear decays, as well as instrumentation for experiments at nuclear reactors. Specialized electronics for nuclear and other types of spectrometry as well as computerization of measurements and control systems in this area also find their place in the A section.",0168-9002,Nuclear and High Energy Physics,2023,Q2,2023,0.514,2023,1.568
Studies in Surface Science and Catalysis,Elsevier Inc.,69,Information not localized,0167-2991,"Surfaces, Coatings and Films",2022,Q3,2022,0.351,2022,0.000
Gut,BMJ Publishing Group,348,"Gut is a leading international journal in gastroenterology and hepatology and has an established reputation for publishing first class clinical research of the alimentary tract, the liver, biliary tree and pancreas. Gut delivers up-to-date, authoritative, clinically oriented coverage in all areas of gastroenterology and hepatology. Regular features include articles describing novel mechanisms of disease and new management strategies, both diagnostic and therapeutic, likely to impact on clinical practice within the foreseeable future by leading authorities.",0017-5749,Gastroenterology,2023,Q1,2023,8.052,2023,15.000
Nature Biotechnology,Nature Publishing Group,511,"Nature Biotechnology is a monthly journal covering the science and business of biotechnology. It publishes new concepts in technology/methodology of relevance to the biological, biomedical, agricultural and environmental sciences as well as covers the commercial, political, ethical, legal, and societal aspects of this research. The first function is fulfilled by the peer-reviewed research section, the second by the expository efforts in the front of the journal. We provide researchers with news about business; we provide the business community with news about research developments.

The core areas in which we are actively seeking research papers include: molecular engineering of nucleic acids and proteins; molecular therapy (therapeutics genes, antisense, siRNAs, aptamers, DNAzymes, ribozymes, peptides, proteins); large-scale biology (genomics, functional genomics, proteomics, structural genomics, metabolomics, etc.); computational biology (algorithms and modeling), regenerative medicine (stem cells, tissue engineering, biomaterials); imaging technology; analytical biotechnology (sensors/detectors for analytes/macromolecules), applied immunology (antibody engineering, xenotransplantation, T-cell therapies); food and agricultural biotechnology; and environmental biotechnology. A comprehensive list of areas of interest is shown below.",1087-0156,Molecular Medicine,2023,Q1,2023,18.117,2023,13.241
Human Gene Therapy,Mary Ann Liebert Inc.,159,"Human Gene Therapy (HGT) is the premier, multidisciplinary journal covering all aspects of gene therapy. The Journal publishes important advances in DNA, RNA, cell and immune therapies, validating the latest advances in research and new technologies.

Established in 1990, HGT provides a prestigious forum for publishing scientific and clinical research, including ethical, legal, regulatory, social, and commercial issues, which enables the advancement and progress of therapeutic procedures leading to improved patient outcomes, and ultimately, to curing diseases.",1043-0342,Molecular Medicine,2023,Q2,2023,1.091,2023,2.952
Nanoscale,Royal Society of Chemistry,285,"Nanoscale is a high impact international journal, publishing high quality research across nanoscience and nanotechnology. Nanoscale publishes a full mix of research articles on experimental and theoretical work, including reviews, communications and full papers. Highly interdisciplinary, Nanoscale appeals to scientists, researchers and professionals interested in nanoscience and nanotechnology, including the areas of physics, chemistry, biology, medicine, materials, energy/environment, information technology, detection science, healthcare and drug discovery, and electronics.",2040-3364,Nanoscience and Nanotechnology,2023,Q1,2023,1.416,2023,5.764
Journal of Hepatology,Elsevier B.V.,301,"The Journal of Hepatology publishes original papers, reviews, case reports and letters to the Editor concerned with clinical and basic research in the field of hepatology. The Journal is published in English. Supplements may be accepted after editorial review.",0168-8278,Hepatology,2023,Q1,2023,9.857,2023,12.659
Frontiers in Microbiology,Frontiers Media SA,233,"Frontiers in Microbiology is a leading journal in its field, publishing rigorously peer-reviewed research across the entire spectrum of microbiology. Field Chief Editor Martin G. Klotz at Washington State University is supported by an outstanding Editorial Board of international researchers. This multidisciplinary open-access journal is at the forefront of disseminating and communicating scientific knowledge and impactful discoveries to researchers, academics, clinicians and the public worldwide.",1664-302X,Microbiology (medical),2023,Q1,2023,1.065,2023,4.025
International Immunopharmacology,Elsevier B.V.,149,"International Immunopharmacology is the primary vehicle for the publication of original research papers pertinent to the overlapping areas of immunology, pharmacology, cytokine biology, immunotherapy, immunopathology and immunotoxicology. Review articles that encompass these subjects are also welcome.

The subject material appropriate for submission includes:
• Clinical studies employing immunotherapy of any type including the use of: bacterial and chemical agents; thymic hormones, interferon, lymphokines, etc., in transplantation and diseases such as cancer, immunodeficiency, chronic infection and allergic, inflammatory or autoimmune disorders.
• Studies on the mechanisms of action of these agents for specific parameters of immune competence as well as the overall clinical state.
• Pre-clinical animal studies and in vitro studies on mechanisms of action with immunopotentiators, immunomodulators, immunoadjuvants and other pharmacological agents active on cells participating in immune or allergic responses.
• Pharmacological compounds, microbial products and toxicological agents that affect the lymphoid system, and their mechanisms of action.
• Agents that activate genes or modify transcription and translation within the immune response.
• Substances activated, generated, or released through immunologic or related pathways that are pharmacologically active.
• Production, function and regulation of cytokines and their receptors.
• Classical pharmacological studies on the effects of chemokines and bioactive factors released during immunological reactions.",1567-5769,Pharmacology,2023,Q1,2023,1.167,2023,4.991
Transfusion,Wiley-Blackwell Publishing Ltd,150,"TRANSFUSION is the foremost publication in the world for new information regarding transfusion medicine. Written by and for members of AABB and other health-care workers, TRANSFUSION reports on the latest technical advances, discusses opposing viewpoints regarding controversial issues, and presents key conference proceedings. In addition to blood banking and transfusion medicine topics, TRANSFUSION presents submissions concerning patient blood management, tissue transplantation and hematopoietic, cellular, and gene therapies.",0041-1132,Immunology and Allergy,2023,Q2,2023,1.033,2023,2.046
Stem Cells and Development,Mary Ann Liebert Inc.,133,"Stem Cells and Development is globally recognized as the trusted source for critical, even controversial coverage of emerging hypotheses and novel findings. With a focus on stem cells of all tissue types and their potential therapeutic applications, the Journal provides clinical, basic, and translational scientists with cutting-edge research and findings.

Stem Cells and Development coverage includes:

Embryogenesis and adult counterparts of this process
Physical processes linking stem cells, primary cell function, and structural development
Hypotheses exploring the relationship between genotype and phenotype
Development of vasculature, CNS, and other germ layer development and defects
Pluripotentiality of embryonic and somatic stem cells
The role of genetic and epigenetic factors in development.",1547-3287,Hematology,2023,Q2,2023,0.803,2023,2.665
Current Opinion in Investigational Drugs,Current Drugs Ltd.,83,Information not localized,1472-4472,Pharmacology,2013,Q1,2013,1.265,2013,0.000
AICHE Journal,American Institute of Chemical Engineers,188,"The AIChE Journal is the premier research monthly in chemical engineering and related fields. This peer-reviewed and broad-based journal reports on the most important and latest technological advances in core areas of chemical engineering as well as in other relevant engineering disciplines. To keep abreast with the progressive outlook of the profession, the Journal has been expanding the scope of its editorial contents to include such fast developing areas as biotechnology, electrochemical engineering, and environmental engineering.

The AIChE Journal is indeed the global communications vehicle for the world-renowned researchers to exchange top-notch research findings with one another. Subscribing to the AIChE Journal is like having immediate access to nine topical journals in the field.

Articles are categorized according to the following topical areas:

Biomolecular Engineering, Bioengineering, Biochemicals, Biofuels, and Food
Inorganic Materials: Synthesis and Processing
Particle Technology and Fluidization
Process Systems Engineering
Reaction Engineering, Kinetics and Catalysis
Separations: Materials, Devices and Processes
Soft Materials: Synthesis, Processing and Products
Thermodynamics and Molecular-Scale Phenomena
Transport Phenomena and Fluid Mechanics.",0001-1541,Environmental Engineering,2023,Q2,2023,0.734,2023,3.739
Journal of Organic Chemistry,American Chemical Society,244,"The Journal of Organic Chemistry welcomes original contributions of fundamental research in all branches of the theory and practice of organic chemistry. In selecting manuscripts for publication, the editors place emphasis on the quality and novelty of the work, as well as the breadth of interest to the organic chemistry community.",0022-3263,Organic Chemistry,2023,Q2,2023,0.724,2023,3.458
Surgical Innovation,SAGE Publications Inc.,57,"Surgical Innovation: Advances in Minimally Invasive Surgical Science, Technology, and Training is dedicated to becoming the core reference for the most advanced aspects of innovative surgical practice for the most innovative surgeons. It focuses on the revolution that minimally invasive surgical techniques, new instruments such as laparoscopes, endoscopes and robots and new technologies like AI, virtual reality and personalized medicine have brought to the art, science, and business of surgery. Each issue of SRI offers unique and peer-reviewed articles from the vanguard of clinical practice: noteworthy and innovative research from the basic sciences, state-of-the-art surgical education, and useful insights into the business and practice of surgery. The journal gives you perceptive and incisive articles that highlight those practices and technologies that will change your practice today and revolutionize surgery for decades to come.",1553-3506,Surgery,2023,Q2,2023,0.391,2023,1.143
Computers and Chemical Engineering,Elsevier B.V.,159,"Computers & Chemical Engineering is primarily a journal of record for new developments in the application of computing and systems technology to chemical engineering problems. Several major areas of study are represented in the journal, including:
Modeling, numerical analysis and simulation; mathematical programming (optimization); cyberinfrastructure, informatics and intelligent systems; process and product synthesis/design; process dynamics, control and monitoring; abnormal events management and process safety; plant operations, integration, planning/scheduling and supply chain; enterprise-wide management and technology-driven policy making; domain applications (molecular, biological, pharmaceutical, food, energy, and environmental systems engineering)",0098-1354,Computer Science Applications,2023,Q2,2023,0.903,2023,4.232
Industrial & Engineering Chemistry Research,American Chemical Society,255,"Industrial & Engineering Chemistry, with variations in title and format, has been published since 1909 by the American Chemical Society. Industrial & Engineering Chemistry Research is a weekly publication that reports industrial and academic research in the broad fields of applied chemistry and chemical engineering with special focus on fundamentals, processes, and products.

Papers may be based on work that is experimental or theoretical, mathematical or descriptive, chemical or physical. In addition to fundamental research (in such areas as thermodynamics, transport phenomena, chemical reaction kinetics and engineering, catalysis, separations, interfacial phenomena, and materials), papers may deal with process design and development (for example, synthesis and design methods, systems analysis, process control, schemes for data correlation, modeling and scale-up procedures, etc.) and product research and development involving chemical and engineering aspects (for example, catalysts, plastics, elastomers, fibers, adhesives, coatings, paper, membranes, lubricants, ceramics, aerosols, etc.).

In addition to traditional subjects, papers dealing with new areas of science and technology that fit the broad scope and objectives of the journal are encouraged.",0888-5885,Industrial and Manufacturing Engineering,2023,Q1,2023,0.811,2023,3.914
"Journal of the Chemical Society, Perkin Transactions 2",Chemical Society,0,Cessation.,0300-9580,Chemistry (miscellaneous),2005,Q1,2005,0.791,2005,0.000
Chemical Engineering Science,Elsevier B.V.,214,"Chemical Engineering Science has an open access mirror Chemical Engineering Science: X, sharing the same aims and scope, editorial team, submission system and rigorous peer review.

Chemical Engineering Science (CES) has been publishing papers on the fundamentals of chemical engineering since 1951. CES is the platform where the most significant advances in the discipline have ever since been published. Chemical Engineering Science has accompanied and sustained chemical engineering through its development into the vibrant and broad scientific discipline it is today.

We welcome manuscripts presenting cutting-edge research, of either an experimental or a theoretical nature. While centered in chemical engineering, manuscripts will often have scope that cuts across disciplines, ranges across scales, from the molecular level to the plant level, with impact not only on specific research questions but also in global issues. Critical reviews of cutting-edge developments are also considered. Papers submitted to Chemical Engineering Science are assessed by the editorial board via a thorough peer-review process only with regard to their quality and potential for fundamental and long-lasting contribution to chemical engineering.",0009-2509,Industrial and Manufacturing Engineering,2023,Q1,2023,0.817,2023,4.435
Cell Host and Microbe,Cell Press,241,"Cell Host & Microbe was launched in March 2007. The journal's mission is to provide a forum for the exchange of ideas and concepts between scientists studying the microbe with those studying the host immune, cell biological, and molecular response upon colonization or infection by a microbe.

Cell Host & Microbe will publish novel findings related to microbes (which includes bacteria, fungi, parasites, and viruses) from molecular and cellular biology to translational studies with particular emphasis on the interface between the microbe and its host (vertebrate, invertebrate, or plant; unicellular or multicellular). The unifying theme is the integrated study of microbes (pathogenic, non-pathogenic, and commensal) in conjunction and communication with each other, their host, and the cellular environment they inhabit. Work published in Cell Host & Microbe is expected not only to be of exceptional significance within its field, but also of interest to researchers outside the immediate area. In addition to primary research manuscripts, Cell Host & Microbe will publish expert analysis, commentary, and reviews on topics of current interest in the field.

Topics covered include: 

- Molecular and cell biology of microbes
 
- Microbial pathogenesis
 
- Host cellular and immune response to microbes
 
- Immune evasion
 
- Therapeutics
 
- Evolution, epidemiology, and natural history of microbes
 
- Vaccine design, development, and trials
 
- Emerging pathogens",1931-3128,Virology,2023,Q1,2023,7.760,2023,12.706
Cell,Elsevier B.V.,892,"Cell publishes findings of unusual significance in any area of experimental biology, including but not limited to cell biology, molecular biology, neuroscience, immunology, virology and microbiology, cancer, human genetics, systems biology, signaling, and disease mechanisms and therapeutics. The basic criterion for considering papers is whether the results provide significant conceptual advances into, or raise provocative questions and hypotheses regarding, an interesting and important biological question. In addition to primary research articles in four formats, Cell features review and opinion articles on recent research advances and issues of interest to its broad readership in the Leading Edge section.",0092-8674,"Biochemistry, Genetics and Molecular Biology (miscellaneous)",2023,Q1,2023,24.342,2023,31.296
Microbiology (United Kingdom),Microbiology Society,204,"We publish high-quality original research on bacteria, fungi, protists, archaea, algae, parasites and other microscopic life forms.

Topics include but are not limited to:

Antimicrobials and antimicrobial resistance
Bacteriology and parasitology
Biochemistry and biophysics
Biofilms and biological systems
Biotechnology and bioremediation
Cell biology and signalling
Chemical biology
Cross-disciplinary work
Ecology and environmental microbiology
Food microbiology
Genetics
Host–microbe interactions
Microbial methods and techniques
Microscopy and imaging
Omics, including genomics, proteomics and metabolomics
Physiology and metabolism
Systems biology and synthetic biology
The microbiome.",1350-0872,Microbiology,2023,Q2,2023,0.750,2023,2.183
mBio,American Society for Microbiology,168,"mBio® is a broad-scope open access journal edited by active research scientists. It strives to publish the best research in microbiology and allied fields. mBio publishes outstanding papers in all disciplines that address microbiological problems, including, but not limited to, biochemistry and molecular biology, genetics and genomics, environmental science, evolution, immunology, infectious disease, and physiology. Topics covered include bacteria, viruses, parasites, fungi, and simple eukaryotic organisms, as well as all types of host-microbe interactions.

We understand that there may be overlap in the scope statements of the ASM journals. Questions about these guidelines may be directed to the editor in chief of the journal being considered.",2150-7511,Virology,2023,Q1,2023,2.028,2023,4.783
Infection and Immunity,American Society for Microbiology,242,"Infection and Immunity® (IAI) provides new insights into the interactions between bacteria, fungi, and parasites and their hosts. Specific areas of interest include host cellular and immune response to microbes, molecular mechanisms of action of beneficial microbes or host-associated microbial communities, microbial pathogenesis, virulence factors, experimental models of infection, host resistance or susceptibility, and the generation of innate and adaptive immune responses.

IAI will not consider papers that are preliminary, purely descriptive, or case studies. Clinical studies may be suitable for consideration by IAI if they provide novel insights into infectious disease pathogenesis or noncommunicable diseases associated with microbiota imbalances. IAI welcomes studies of the microbiome that relate to host-microbe interactions. Papers describing methodology are not encouraged; only under unusual circumstances will they be considered for publication.",0019-9567,Parasitology,2023,Q1,2023,1.042,2023,2.848
Critical Reviews in Microbiology,Informa Healthcare,111,"Critical Reviews in Microbiology is an international, peer-reviewed journal that publishes comprehensive reviews covering all areas of microbiology relevant to humans and animals, including medical and veterinary microbiology, public health and environmental microbiology. These may include subjects related to microbial molecular biology, immunopathogenicity, physiology, biochemistry, structure, and epidemiology. Of particular interest are reviews covering clinical aspects of bacterial, virological, fungal and parasitic diseases. All reviews must be analytical, comprehensive, and balanced in nature. Editors welcome uninvited submissions, as well as suggested topics for reviews accompanied by an abstract.",1040-841X,Microbiology,2023,Q1,2023,1.675,2023,8.125
Virulence,Landes Bioscience,94,"Virulence is a fully open access peer-reviewed journal. All articles will (if accepted) be available for anyone to read anywhere, at any time immediately on publication.

Virulence is the first international peer-reviewed journal of its kind to focus exclusively on microbial pathogenicity, the infection process and host-pathogen interactions. To address the new infectious challenges, emerging infectious agents and antimicrobial resistance, there is a clear need for interdisciplinary research.",2150-5594,Parasitology,2023,Q1,2023,1.313,2023,5.542
Bone Marrow Transplantation,Nature Publishing Group,144,"Bone Marrow Transplantation publishes high quality, peer reviewed original research that addresses all aspects of basic biology and clinical use of haemopoietic stem cell transplantation.
The broad scope of the journal thus encompasses topics such as stem cell biology, e.g., kinetics and cytokine control, transplantation immunology e.g., HLA and matching techniques, translational research, and clinical results of specific transplant protocols. Bone Marrow Transplantation publishes 24 issues a year.",0268-3369,Transplantation,2023,Q1,2023,1.318,2023,2.665
Surgical Endoscopy and Other Interventional Techniques,Springer New York,172,"Uniquely positioned at the interface between various medical and surgical disciplines, Surgical Endoscopy serves as a focal point for the international surgical community to exchange information on practice, theory, and research.

Topics covered in the journal include:

-Surgical aspects of:
Interventional endoscopy,
Ultrasound,
Other techniques in the fields of gastroenterology, obstetrics, gynecology, and urology,
-Gastroenterologic surgery
-Thoracic surgery
-Traumatic surgery
-Orthopedic surgery
-Pediatric surgery",0930-2794,Surgery,2023,Q1,2023,1.120,2023,3.030
Science of the Total Environment,Elsevier B.V.,353,"Science of the Total Environment is an international multi-disciplinary journal for publication of original research on the total environment, which includes the atmosphere, hydrosphere, biosphere, lithosphere, and anthroposphere.",0048-9697,Waste Management and Disposal,2023,Q1,2023,1.998,2023,9.439
Prostaglandins,Elsevier B.V.,0,,0090-6980,Endocrinology,2000,Q1,2000,1.025,2000,0.000
Hydrogeology Journal,,118,"Hydrogeology Journal was founded in 1992 to foster understanding of hydrogeology; to describe worldwide progress in hydrogeology; and to provide an accessible forum for scientists, researchers, engineers, and practitioners in developing and industrialized countries. 

Since then, the journal has earned a large worldwide readership. Its peer-reviewed research articles integrate subsurface hydrology and geology with supporting disciplines: geochemistry, geophysics, geomorphology, geobiology, surface-water hydrology, tectonics, numerical modeling, economics, and sociology.",1431-2174,Water Science and Technology,2023,Q1,2023,0.721,2023,2.399
